"Local", "undefined"
"Iracemápolis", 0.776
"Irapuã", 0.713
"Irapuru", 0.712
"Itaberá", 0.693
"Itaí", 0.713
"Itajobi", 0.730
"Itaju", 0.705
"Itanhaém", 0.745
"Itaoca", 0.680
"Itapecerica da Serra", 0.742
"Itapetininga", 0.763
"Itapeva", 0.732
"Itapevi", 0.735
"Itapira", 0.762
"Itapirapuã Paulista", 0.661
"Itápolis", 0.744
"Itaporanga", 0.719
"Itapuí", 0.725
"Itapura", 0.720
"Itaquaquecetuba", 0.714
"Itararé", 0.703
"Itariri", 0.677
"Itatiba", 0.778
"Itatinga", 0.706
"Itirapina", 0.724
"Itirapuã", 0.707
"Itobi", 0.717
"Itu", 0.773
"Itupeva", 0.762
"Ituverava", 0.765
"Jaborandi", 0.711
"Jaboticabal", 0.778
"Jacareí", 0.777
"Jaci", 0.723
"Jacupiranga", 0.717
"Jaguariúna", 0.784
"Jales", 0.776
"Jambeiro", 0.756
"Jandira", 0.760
"Jardinópolis", 0.735
"Jarinu", 0.733
"Jaú", 0.778
"Jeriquara", 0.703
"Joanópolis", 0.699
"João Ramalho", 0.741
"José Bonifácio", 0.777
"Júlio Mesquita", 0.716
"Jumirim", 0.741
"Jundiaí", 0.822
"Junqueirópolis", 0.745
"Juquiá", 0.700
"Juquitiba", 0.709
"Lagoinha", 0.693
"Laranjal Paulista", 0.729
"Lavínia", 0.721
"Lavrinhas", 0.729
"Leme", 0.744
"Lençóis Paulista", 0.764
"Limeira", 0.775
"Lindóia", 0.742
"Lins", 0.786
"Lorena", 0.766
"Lourdes", 0.742
"Louveira", 0.777
"Lucélia", 0.752
"Lucianópolis", 0.733
"Luís Antônio", 0.731
"Luiziânia", 0.702
"Lupércio", 0.724
"Lutécia", 0.720
"Macatuba", 0.770
"Macaubal", 0.743
"Macedônia", 0.740
"Magda", 0.753
"Mairinque", 0.743
"Mairiporã", 0.788
"Manduri", 0.739
"Marabá Paulista", 0.677
"Maracaí", 0.771
"Marapoama", 0.752
"Mariápolis", 0.718
"Marília", 0.798
"Marinópolis", 0.731
"Martinópolis", 0.721
"Matão", 0.773
"Mauá", 0.766
"Mendonça", 0.744
"Meridiano", 0.731
"Mesópolis", 0.724
"Miguelópolis", 0.741
"Mineiros do Tietê", 0.730
"Miracatu", 0.697
"Mira Estrela", 0.743
"Mirandópolis", 0.751
"Mirante do Paranapanema", 0.724
"Mirassol", 0.762
"Mirassolândia", 0.738
"Mococa", 0.762
"Mogi das Cruzes", 0.783
"Mogi Guaçu", 0.774
"Mogi Mirim", 0.784
"Mombuca", 0.719
"Monções", 0.772
"Mongaguá", 0.754
"Monte Alegre do Sul", 0.759
"Monte Alto", 0.768
"Monte Aprazível", 0.785
"Monte Azul Paulista", 0.753
"Monte Castelo", 0.741
"Monteiro Lobato", 0.710
"Monte Mor", 0.733
"Morro Agudo", 0.712
"Morungaba", 0.715
"Motuca", 0.741
"Murutinga do Sul", 0.726
"Nantes", 0.714
"Narandiba", 0.718
"Natividade da Serra", 0.655
"Nazaré Paulista", 0.678
"Neves Paulista", 0.754
"Nhandeara", 0.751
"Nipoã", 0.713
"Nova Aliança", 0.738
"Nova Campina", 0.651
"Nova Canaã Paulista", 0.715
"Nova Castilho", 0.756
"Nova Europa", 0.765
"Nova Granada", 0.739
"Nova Guataporanga", 0.726
"Nova Independência", 0.735
"Novais", 0.719
"Nova Luzitânia", 0.743
"Nova Odessa", 0.791
"Novo Horizonte", 0.753
"Nuporanga", 0.746
"Ocauçu", 0.717
"Óleo", 0.730
"Olímpia", 0.773
"Onda Verde", 0.738
"Oriente", 0.770
"Orindiúva", 0.767
"Orlândia", 0.780
"Osasco", 0.776
"Oscar Bressane", 0.749
"Osvaldo Cruz", 0.762
"Ourinhos", 0.778
"Ouroeste", 0.770
"Ouro Verde", 0.692
"Pacaembu", 0.725
"Palestina", 0.732
"Palmares Paulista", 0.722
"Palmeira d'Oeste", 0.753
"Palmital", 0.746
"Panorama", 0.722
"Paraguaçu Paulista", 0.762
"Paraibuna", 0.719
"Paraíso", 0.749
"Paranapanema", 0.717
"Paranapuã", 0.732
"Parapuã", 0.737
"Pardinho", 0.727
"Pariquera-Açu", 0.736
"Parisi", 0.721
"Patrocínio Paulista", 0.730
"Paulicéia", 0.711
"Paulínia", 0.795
"Paulistânia", 0.718
"Paulo de Faria", 0.725
"Pederneiras", 0.739
"Pedra Bela", 0.677
"Pedranópolis", 0.742
"Pedregulho", 0.715
"Pedreira", 0.769
"Pedrinhas Paulista", 0.774
"Pedro de Toledo", 0.696
"Penápolis", 0.759
"Pereira Barreto", 0.766
"Pereiras", 0.736
"Peruíbe", 0.749
"Piacatu", 0.732
"Piedade", 0.716
"Pilar do Sul", 0.690
"Pindamonhangaba", 0.773
"Pindorama", 0.737
"Pinhalzinho", 0.725
"Piquerobi", 0.711
"Piquete", 0.757
"Piracaia", 0.739
"Piracicaba", 0.785
"Piraju", 0.758
"Pirajuí", 0.749
"Pirangi", 0.756
"Pirapora do Bom Jesus", 0.727
"Pirapozinho", 0.776
"Pirassununga", 0.801
"Piratininga", 0.779
"Pitangueiras", 0.723
"Planalto", 0.719
"Platina", 0.719
"Poá", 0.771
"Poloni", 0.766
"Pompéia", 0.786
"Pongaí", 0.755
"Pontal", 0.725
"Pontalinda", 0.702
"Pontes Gestal", 0.732
"Populina", 0.714
"Porangaba", 0.703
"Porto Feliz", 0.758
"Porto Ferreira", 0.751
"Potim", 0.697
"Potirendaba", 0.747
"Pracinha", 0.696
"Pradópolis", 0.733
"Praia Grande", 0.754
"Pratânia", 0.701
"Presidente Alves", 0.735
"Presidente Bernardes", 0.757
"Presidente Epitácio", 0.750
"Presidente Prudente", 0.806
"Presidente Venceslau", 0.763
"Promissão", 0.743
"Quadra", 0.678
"Quatá", 0.738
"Queiroz", 0.715
"Queluz", 0.722
"Quintana", 0.732
"Rafard", 0.745
"Rancharia", 0.751
"Redenção da Serra", 0.657
"Regente Feijó", 0.768
"Reginópolis", 0.728
"Registro", 0.754
"Restinga", 0.705
"Ribeira", 0.698
"Ribeirão Bonito", 0.712
"Ribeirão Branco", 0.639
"Ribeirão Corrente", 0.711
"Ribeirão do Sul", 0.747
"Ribeirão dos Índios", 0.721
"Ribeirão Grande", 0.705
"Ribeirão Pires", 0.784
"Ribeirão Preto", 0.800
"Riversul", 0.664
"Rifaina", 0.740
"Rincão", 0.734
"Rinópolis", 0.723
"Rio Claro", 0.803
"Rio das Pedras", 0.759
"Rio Grande da Serra", 0.749
"Riolândia", 0.703
"Rosana", 0.764
"Roseira", 0.737
"Rubiácea", 0.721
"Rubinéia", 0.759
"Sabino", 0.728
"Sagres", 0.730
"Sales", 0.751
"Sales Oliveira", 0.772
"Salesópolis", 0.732
"Salmourão", 0.719
"Saltinho", 0.791
"Salto", 0.780
"Salto de Pirapora", 0.729
"Salto Grande", 0.704
"Sandovalina", 0.709
"Santa Adélia", 0.760
"Santa Albertina", 0.728
"Santa Bárbara d'Oeste", 0.781
"Santa Branca", 0.735
"Santa Clara d'Oeste", 0.733
"Santa Cruz da Conceição", 0.790
"Santa Cruz da Esperança", 0.743
"Santa Cruz das Palmeiras", 0.728
"Santa Cruz do Rio Pardo", 0.762
"Santa Ernestina", 0.738
"Santa Fé do Sul", 0.784
"Santa Gertrudes", 0.737
"Santa Isabel", 0.738
"Santa Lúcia", 0.737
"Santa Maria da Serra", 0.686
"Santa Mercedes", 0.739
"Santana da Ponte Pensa", 0.773
"Santana de Parnaíba", 0.814
"Santa Rita d'Oeste", 0.761
"Santa Rita do Passa Quatro", 0.775
"Santa Rosa de Viterbo", 0.770
"Santa Salete", 0.772
"Santo Anastácio", 0.753
"Santo André", 0.815
"Santo Antônio da Alegria", 0.702
"Santo Antônio de Posse", 0.702
"Santo Antônio do Aracanguá", 0.757
"Santo Antônio do Jardim", 0.714
"Santo Antônio do Pinhal", 0.706
"Santo Expedito", 0.732
"Santópolis do Aguapeí", 0.740
"Santos", 0.840
"São Bento do Sapucaí", 0.720
"São Bernardo do Campo", 0.805
"São Caetano do Sul", 0.862
"São Carlos", 0.805
"São Francisco", 0.723
"São João da Boa Vista", 0.797
"São João das Duas Pontes", 0.720
"São João de Iracema", 0.748
"São João do Pau d'Alho", 0.750
"São Joaquim da Barra", 0.762
"São José da Bela Vista", 0.693
"São José do Barreiro", 0.684
"São José do Rio Pardo", 0.774
"São José do Rio Preto", 0.797
"São José dos Campos", 0.807
