"Local", "undefined"
"Igaraçu do Tietê", 13243.11
"Igarapava", 41316.38
"Igaratá", 22029.13
"Iguape", 40843.35
"Ilhabela", 427952.24
"Ilha Comprida", 93632.77
"Ilha Solteira", 24542.87
"Indaiatuba", 66416.38
"Indiana", 14861.63
"Indiaporã", 23603.63
"Inúbia Paulista", 33438.89
"Ipaussu", 26024.73
"Iperó", 18425.60
"Ipeúna", 91053.82
"Ipiguá", 19894.17
"Iporanga", 13734.68
"Ipuã", 23506.90
"Iracemápolis", 82856.66
"Irapuã", 20314.32
"Irapuru", 11573.79
"Itaberá", 33894.22
"Itaí", 26896.19
"Itajobi", 39359.70
"Itaju", 25932.33
"Itanhaém", 20038.96
"Itaoca", 12772.21
"Itapecerica da Serra", 22091.24
"Itapetininga", 29929.24
"Itapeva", 31475.12
"Itapevi", 50700.92
"Itapira", 51499.66
"Itapirapuã Paulista", 10781.02
"Itápolis", 30987.73
"Itaporanga", 19642.10
"Itapuí", 50952.89
"Itapura", 19434.61
"Itaquaquecetuba", 20655.00
"Itararé", 18756.57
"Itariri", 18935.18
"Itatiba", 52936.31
"Itatinga", 19380.82
"Itirapina", 39738.62
"Itirapuã", 15965.05
"Itobi", 17697.15
"Itu", 50459.02
"Itupeva", 120401.43
"Ituverava", 37959.63
"Jaborandi", 19945.62
"Jaboticabal", 38204.24
"Jacareí", 57356.92
"Jaci", 63429.10
"Jacupiranga", 27421.10
"Jaguariúna", 208924.71
"Jales", 33013.82
"Jambeiro", 38925.94
"Jandira", 33289.32
"Jardinópolis", 27458.68
"Jarinu", 84017.61
"Jaú", 32676.63
"Jeriquara", 33247.06
"Joanópolis", 16111.66
"João Ramalho", 28075.65
"José Bonifácio", 34146.03
"Júlio Mesquita", 11227.37
"Jumirim", 41947.78
"Jundiaí", 112084.83
"Junqueirópolis", 32604.96
"Juquiá", 18446.81
"Juquitiba", 17415.91
"Lagoinha", 12642.54
"Laranjal Paulista", 40335.67
"Lavínia", 12995.36
"Lavrinhas", 14233.75
"Leme", 32666.11
"Lençóis Paulista", 44968.92
"Limeira", 45074.95
"Lindóia", 24580.03
"Lins", 70334.59
"Lorena", 32957.25
"Lourdes", 15346.56
"Louveira", 325589.41
